Month (mm-yy),Sapling no.,Planting hole,Weeding treatment,Fertiliser treatment,Peat condition,Sun exposure,Insect herbivory,Dead/Live,Height (cm),DBH (cm),No. of leaves,RGR for Height,RGR for DBH
Jun-21,53-01-06,69,Weeding,None,Partial,High,Low,Live,190,0.91,25,0.02741,0
Jun-21,42-01-01,70,No weeding,Urea,Partial,High,NA,Live,186,1.05,NA,NA,NA
Jun-21,17-01-03,71,Weeding,Mixed,Partial,High,NA,Live,176.2,1.3,NA,NA,NA
Jun-21,77-01-14,72,No weeding,TSP,Partial,High,NA,Live,151,0.45,NA,NA,NA
Jun-21,75-01-11,73,Weeding,None,Partial,High,Low,Live,199.6,0.84,17,0.01996,-0.00394
Jun-21,41-01-14,74,No weeding,Urea,Dry,Partial,NA,Live,176,1.44,NA,NA,NA
Jun-21,19-01-10,75,Weeding,Mixed,Dry,High,NA,Live,149,0.25,NA,NA,NA
Jun-21,40-01-12,76,No weeding,TSP,Partial,High,NA,Live,212,1.08,NA,NA,NA
Jun-21,78-01-10,77,Weeding,None,Partial,High,NA,Live,196.5,1.482,NA,NA,NA
Jun-21,61-01-04,78,No weeding,Urea,Partial,High,NA,Live,176.5,0.54,NA,NA,NA
Jun-21,40-01-03,79,Weeding,Mixed,Partial,High,NA,Live,177.5,1.7,NA,NA,NA
Jun-21,61-01-03,80,No weeding,TSP,Partial,High,Low,Live,176.5,1.28,NA,NA,NA
Jun-21,30-01-09,81,Weeding,None,Dry,High,Intermediate,Live,175.5,0.91,3,0.00095,-0.04738
Jun-21,09-01-05,82,No weeding,Urea,Waterlogged,Partial,Low,Live,166,1.05,9,-0.04763,0
Jun-21,18-01-28,83,Weeding,Mixed,Partial,Partial,NA,Live,68,0.32,9,0.03895,-0.01026
Jun-21,30-01-09,84,No weeding,TSP,Waterlogged,High,NA,Live,142,0.62,NA,NA,NA
Jun-21,05-01-39,85,Weeding,None,Partial,High,Low,Live,177,1.34,12,0,0.00755
Jun-21,68-01-27,86,No weeding,Urea,Partial,High,Low,Live,161,0.43,6,-0.00309,-0.01515
Jun-21,09-01-14,87,Weeding,Mixed,Partial,High,Low,Live,176,1.04,11,0.00038,-0.01258
Jun-21,68-01-13,88,No weeding,TSP,Partial,High,NA,Live,177,1.06,NA,NA,NA
Jun-21,41-01-22,89,Weeding,None,Partial,High,NA,Live,204,1.02,NA,NA,NA
Jun-21,77-01-13,90,No weeding,Urea,Partial,High,Low,Live,177,1.05,9,0.00132,-0.06862
Jun-21,03-01-21,91,Weeding,Mixed,Waterlogged,High,NA,Live,200,0.46,NA,NA,NA
Jun-21,49-01-16,92,No weeding,TSP,Partial,Partial,None,Live,176,1.32,6,-0.00019,-0.02199
Jun-21,20-01-16,93,Weeding,None,Partial,High,NA,Live,176,0.87,NA,NA,NA
Jun-21,10-01-08,94,No weeding,Urea,Partial,High,Low,Live,176.5,1.36,4,0.00208,0.30177
Jun-21,77-01-22,95,Weeding,Mixed,Partial,High,NA,Live,177,0.64,NA,NA,NA
Jun-21,06-01-07,96,No weeding,TSP,Partial,High,NA,Live,249,1.42,0,-0.00067,0.00473
Jun-21,03-01-16,97,Weeding,None,Waterlogged,High,Low,Live,84.5,0.24,4,-0.02543,-0.09589
Jun-21,30-01-24,98,No weeding,Urea,Partial,High,Low,Live,204,1.1,NA,NA,NA
Jun-21,40-01-25,99,No weeding,None,Waterlogged,High,Low,Live,170.5,1.67,12,-0.01153,0.07338
Jun-21,04-01-23,100,Weeding,Urea,Partial,High,NA,Live,177,1,NA,NA,NA
Jun-21,40-01-08,101,No weeding,Mixed,Partial,High,Low,Live,172,1.01,3,-0.01386,0.03844
Jun-21,73-01-08,102,Weeding,TSP,Partial,High,High,Live,138,0.83,5,0.00487,-0.02327
Jun-21,44-01-16,103,No weeding,None,Partial,High,NA,Live,194,1.12,NA,NA,NA
Jun-21,78-01-20,104,Weeding,Urea,Dry,High,Low,Live,180,1.03,20,0.00579,-0.0127
Jun-21,03-01-12,105,No weeding,Mixed,Partial,High,NA,Live,176.6,1.26,0,-0.00113,0.00266
Jun-21,68-01-25,106,Weeding,TSP,Dry,High,NA,Live,177,1.13,14,0,-0.02554
Jun-21,40-01-05,107,No weeding,None,Dry,Partial,NA,Live,177,1.21,NA,NA,NA
Jun-21,78-01-26,108,Weeding,Urea,Dry,High,Low,Live,163.5,1.48,14,-0.02645,0.03065
Jun-21,41-01-24,109,No weeding,Mixed,Dry,High,NA,Live,190.5,0.89,NA,NA,NA
Jun-21,17-01-09,110,Weeding,TSP,Dry,High,NA,Live,162.5,1.38,NA,NA,NA
Jun-21,41-01-15,111,No weeding,None,Partial,High,NA,Live,176,0.84,NA,NA,NA
Jun-21,65-01-05,112,Weeding,Urea,Dry,High,Low,Live,191.5,0.94,16,0.02738,-0.00702
Jun-21,44-01-07,113,No weeding,Mixed,Partial,High,NA,Live,183.5,1.22,NA,NA,NA
Jun-21,56-01-03,114,Weeding,TSP,Waterlogged,High,NA,Live,175.8,1.22,NA,NA,NA
Jun-21,10-01-12,115,No weeding,None,Dry,High,Intermediate,Live,175.7,1,15,-0.02957,-0.05119
Jun-21,39-01-14,116,Weeding,Urea,Partial,High,Intermediate,Live,135,0.76,4,0.04628,0.02741
Jun-21,10-01-04,117,No weeding,Mixed,Partial,Partial,Intermediate,Live,167,0.47,13,0.00706,-0.32068
Jun-21,44-01-04,118,Weeding,TSP,Partial,High,Low,Live,176.5,1.44,6,0.00095,0.00702
Jun-21,13-01-03,119,No weeding,None,Partial,High,Low,Live,180.5,1.15,20,0.02771,-0.00289
Jun-21,68-01-28,120,Weeding,Urea,Partial,High,NA,Live,187.5,0.7,0,0.00018,0.05138
Jun-21,03-01-07,121,No weeding,Mixed,Partial,High,NA,Live,135,0.7,NA,NA,NA
Jun-21,20-01-31,122,Weeding,TSP,Partial,High,Low,Live,192,1.3,34,0.02995,0.02947
Jun-21,08-01-09,123,No weeding,None,Partial,High,Low,Live,184.5,0.97,24,-0.021,0.03246
Jun-21,71-01-01,124,Weeding,Urea,Partial,High,NA,Live,202,0.87,NA,NA,NA
Jun-21,25-01-01,125,No weeding,Mixed,Waterlogged,Partial,NA,Live,200,0.9,NA,NA,NA
Jun-21,08-01-06,126,Weeding,TSP,Partial,Partial,None,Live,176,0.86,8,-0.00264,-0.03318
